,TrigNo,T50,T90,F1,F2,F3,F4,P64,P256,P1024
446,2324,27.456,92.704,7.12E-07,1.59E-06,3.38E-06,3.05E-06,1.004,0.825,0.686
447,2325,16.448,22.528,8.63E-08,2.87E-08,3.96E-07,0,1.449,0.744,0.25
448,2326,0.032,0.088,1.09E-09,6.32E-09,3.25E-08,4.46E-07,1.373,0.607,0.185
449,2327,0.96,2.496,3.54E-08,1.78E-08,8.62E-08,2.78E-07,0.515,0.406,0.317
450,2328,17.536,53.984,1.25E-06,1.55E-06,2.81E-06,2.52E-06,1.709,1.566,1.366
451,2329,7.36,22.144,4.64E-06,1.13E-05,5.46E-05,0.000311,42.573,40.395,25.255
452,2330,0.088,0.804,2.87E-08,4.90E-08,3.28E-07,1.40E-06,8.034,4.906,1.522
453,2332,0.024,0.052,1.44E-09,3.39E-09,1.69E-08,7.15E-08,1.276,0.464,0.143
454,2340,11.584,22.464,4.17E-07,7.24E-07,1.61E-06,1.34E-06,1.774,1.606,1.373
455,2344,13.632,31.52,1.86E-07,2.07E-07,6.63E-07,7.25E-06,0.513,0.455,0.323
456,2345,52.736,88.96,3.09E-07,5.47E-07,1.53E-06,3.15E-06,2.627,2.486,1.84
457,2346,37.824,83.104,9.66E-07,1.27E-06,2.38E-06,8.34E-07,3.224,2.927,2.561
458,2347,4.032,12.16,6.86E-08,1.57E-07,2.77E-07,5.12E-07,0.783,0.543,0.461
459,2349,1.696,4.032,9.13E-08,1.23E-07,2.14E-07,0,0.591,0.418,0.374
460,2352,0.64,0.96,1.03E-08,1.90E-08,5.97E-08,5.41E-08,0.833,0.629,0.37
461,2353,0.408,1.008,1.13E-08,2.94E-08,1.69E-07,1.98E-07,1.377,1.305,0.813
462,2357,0.232,0.424,1.81E-08,3.88E-08,1.66E-07,1.26E-07,2.381,2.017,0.898
463,2358,0.96,1.28,7.94E-10,7.26E-09,9.68E-08,0,0.808,0.461,0.268
464,2360,0.2,0.568,1.04E-08,2.54E-08,7.79E-08,8.71E-08,1.435,1.17,0.483
465,2362,27.216,45.328,6.39E-07,5.74E-07,8.11E-07,0,3.754,3.354,2.55
466,2365,0.576,1.536,2.15E-08,5.00E-08,2.10E-07,2.04E-07,1.417,0.994,0.412
467,2367,6.336,18.816,1.56E-07,2.02E-07,5.29E-07,3.80E-07,4.6,4.078,2.188
468,2368,1.815,4.135,3.83E-08,6.82E-08,2.28E-07,8.47E-07,0.643,0.478,0.425
469,2371,6.464,18.112,1.29E-06,2.47E-06,6.91E-06,7.80E-06,5.018,4.69,4.375
470,2372,0.072,0.256,0,9.54E-09,2.95E-08,6.42E-08,1.257,0.486,0.171
471,2373,13.952,52.512,2.26E-07,3.55E-07,7.04E-07,1.75E-07,0.605,0.504,0.423
472,2375,35.712,67.84,3.23E-07,3.79E-07,2.48E-06,2.99E-06,1.582,1.104,0.913
473,2377,0.264,0.496,2.47E-08,4.14E-08,3.70E-07,2.13E-06,3.983,2.936,1.585
474,2380,44.608,81.984,3.71E-07,6.50E-07,2.91E-06,2.01E-06,1.198,0.962,0.855
475,2381,1.627,4.096,8.03E-08,2.15E-07,2.01E-07,0,0.705,0.534,0.372
476,2382,0.832,1.92,7.08E-08,5.36E-08,2.86E-08,1.53E-06,0.588,0.366,0.239
477,2383,22.4,50.944,5.95E-07,1.03E-06,5.63E-06,2.59E-05,3.22,3.063,2.493
478,2384,0.128,0.192,5.33E-09,9.83E-09,1.73E-08,8.47E-08,1.124,0.545,0.159
479,2385,6.912,17.856,6.75E-08,2.38E-07,8.32E-07,0,0.638,0.562,0.398
480,2387,12.992,41.984,1.62E-06,3.41E-06,9.68E-06,7.46E-06,4.107,3.861,3.718
481,2391,6.016,13.92,1.01E-07,2.11E-07,5.44E-07,3.22E-06,0.525,0.348,0.298
482,2392,7.36,20.48,3.17E-07,2.62E-07,4.38E-07,3.08E-07,0.648,0.591,0.504
483,2393,1.792,5.134,1.36E-06,1.11E-06,1.33E-06,1.22E-06,4.388,4.212,3.75
484,2394,60.288,140.064,8.80E-07,1.08E-06,2.82E-06,2.08E-06,1.182,1.116,0.982
485,2395,0.064,0.128,4.18E-10,9.02E-09,3.13E-08,2.16E-08,1.662,0.676,0.181
486,2401,1.472,3.2,5.04E-08,4.69E-08,1.73E-07,6.61E-07,0.704,0.671,0.49
487,2405,25.088,64.014,1.29E-07,1.98E-07,8.37E-07,8.09E-07,1.213,0.9,0.45
488,2412,0.576,1.407,4.67E-08,5.40E-08,0,1.75E-05,0.707,0.549,0.358
489,2419,33.152,76.256,7.40E-08,2.90E-07,1.23E-06,1.46E-06,0.729,0.55,0.441
