,TrigNo,T50,T90,F1,F2,F3,F4,P64,P256,P1024
834,3278,0.768,1.408,4.27E-09,2.56E-08,1.12E-07,1.36E-06,0.751,0.635,0.459
835,3279,27.008,41.056,9.43E-07,8.54E-07,1.19E-06,0,1.282,1.165,1.008
836,3280,1.344,3.392,2.17E-08,2.36E-08,8.47E-08,1.93E-08,0.512,0.389,0.328
837,3282,0.034,0.078,3.44E-09,9.73E-09,4.81E-08,9.47E-08,3.06,0.968,0.257
838,3283,9.152,45.824,3.32E-07,4.55E-07,1.08E-06,1.38E-06,2.904,2.574,1.984
839,3284,1.152,5.056,1.43E-08,3.93E-08,1.75E-07,1.62E-07,1.192,1.03,0.666
840,3286,1.216,2.368,0,5.41E-09,5.07E-08,1.34E-06,0.904,0.719,0.168
841,3287,7.68,33.408,2.09E-06,2.25E-06,6.84E-06,1.02E-05,7.714,6.692,4.661
842,3290,3.456,43.648,2.99E-06,3.21E-06,6.90E-06,4.41E-06,10.85,10.704,10.256
843,3292,77.632,113.952,6.69E-07,6.58E-07,1.16E-06,5.83E-06,1.029,0.802,0.74
844,3293,0.192,0.256,3.35E-08,0,1.47E-07,2.76E-08,2.283,1.272,0.456
845,3294,1.056,2.389,6.17E-08,6.41E-08,6.28E-07,4.08E-06,2.056,1.695,1.427
846,3297,0.096,0.272,1.84E-08,3.00E-08,1.50E-07,6.14E-07,4.453,2.43,0.766
847,3301,12.288,36.096,7.14E-07,1.13E-06,5.23E-06,2.26E-05,2.979,2.807,2.521
848,3306,72.96,108.512,2.98E-06,2.93E-06,5.64E-06,4.63E-06,3.496,3.284,2.746
849,3307,26.4,42.976,7.27E-07,5.82E-07,8.04E-07,1.62E-06,1.846,1.699,0.894
850,3308,0.32,0.512,1.57E-08,1.07E-08,4.74E-08,2.27E-07,1.053,0.678,0.263
851,3319,171.968,206.272,8.18E-08,1.74E-07,5.71E-07,5.56E-07,2.279,2.107,1.583
852,3320,18.752,42.624,8.87E-07,1.74E-06,3.64E-06,9.36E-07,1.447,1.142,1.103
853,3321,7.936,22.912,4.01E-08,9.73E-08,4.88E-07,6.04E-07,0.709,0.565,0.399
854,3322,11.36,26.72,7.60E-08,2.14E-07,6.47E-07,2.05E-07,0.961,0.771,0.662
855,3323,0.176,0.448,0,1.81E-08,1.34E-07,3.79E-07,1.581,1.191,0.559
856,3324,15.872,37.824,3.72E-08,9.80E-08,3.70E-07,0,0.601,0.478,0.354
857,3330,32.576,61.952,1.52E-06,1.70E-06,9.00E-06,3.47E-05,8.818,6.749,4.792
858,3333,0.02,0.052,1.30E-09,5.37E-09,1.98E-08,1.22E-08,1.77,0.518,0.094
859,3335,0.614,1.254,1.09E-08,1.20E-08,1.02E-07,5.59E-07,0.751,0.734,0.399
860,3336,92.096,152.8,1.54E-06,2.13E-06,7.15E-06,3.79E-06,1.472,1.352,1.042
861,3338,0.04,0.108,7.12E-09,1.52E-08,4.22E-08,0,2.624,1.105,0.253
862,3339,20.768,51.68,1.99E-07,2.08E-07,7.54E-07,6.26E-06,0.712,0.573,0.383
863,3340,0.44,1.016,2.82E-08,3.43E-08,1.43E-07,3.39E-07,2.847,1.902,0.796
864,3342,0.052,0.116,6.26E-10,6.06E-09,4.26E-08,3.30E-07,1.429,0.719,0.122
865,3345,5.504,40.416,3.02E-06,3.30E-06,1.11E-05,1.47E-05,7.378,6.759,6.379
866,3347,19.808,61.216,8.26E-07,7.07E-07,2.07E-06,2.20E-06,1.007,0.727,0.557
867,3349,0.192,0.384,1.02E-08,2.92E-08,1.35E-07,1.09E-07,3.225,2.311,0.699
868,3350,4.8,13.056,1.80E-07,1.91E-07,6.26E-07,2.40E-06,1.285,1.083,0.771
869,3351,39.104,102.912,2.07E-06,1.47E-06,2.99E-06,4.23E-06,5.18,4.476,2.555
870,3352,16.512,46.336,1.58E-05,1.69E-05,4.37E-05,5.35E-06,3.84,3.71,3.603
871,3356,2.432,5.952,3.69E-07,3.94E-07,7.20E-07,1.22E-07,2.223,2.128,1.627
872,3358,10.048,25.024,3.65E-07,5.40E-07,9.63E-07,1.04E-06,1.241,0.929,0.881
873,3359,0.176,0.344,2.57E-08,2.46E-08,1.95E-07,3.21E-07,3.012,2.541,0.891
874,3364,13.088,39.648,8.42E-07,9.52E-07,1.85E-06,8.00E-06,0.966,0.828,0.712
875,3369,21.632,49.696,1.33E-06,9.98E-07,1.08E-06,0,0.973,0.788,0.735
876,3370,5.92,38.432,8.70E-08,1.63E-07,4.46E-07,6.35E-07,0.851,0.695,0.615
877,3374,0.88,2.284,1.53E-08,2.50E-08,9.80E-08,4.76E-07,2.097,1.278,0.498
878,3378,4.568,9.728,6.86E-08,4.15E-08,3.25E-07,2.52E-06,0.868,0.752,0.533
879,3379,0.288,0.608,1.92E-08,2.99E-08,1.80E-07,1.78E-07,2.159,1.646,0.874
880,3384,0.02,0.056,0,3.49E-09,2.16E-08,0,1.562,0.554,0.213
881,3403,15.168,31.84,2.45E-07,4.57E-07,9.30E-07,0,0.593,0.455,0.393
882,3405,18.688,67.392,2.33E-07,3.01E-07,1.98E-06,1.51E-05,1.744,1.535,1.165
883,3407,43.456,91.36,5.90E-07,1.00E-06,2.41E-06,2.80E-06,1.833,1.529,1.397
884,3408,21.952,58.56,5.61E-06,8.84E-06,3.32E-05,5.93E-05,14.731,12.727,10.748
885,3410,0.056,0.116,6.95E-08,1.31E-07,4.00E-07,4.58E-08,22.794,10.133,2.533
886,3412,0.012,0.068,8.70E-08,1.87E-07,1.19E-06,2.64E-06,54.82,22.218,5.632
887,3415,26.368,54.336,4.08E-06,4.86E-06,1.25E-05,1.03E-05,10.306,9.162,7.072
888,3416,13.024,37.408,3.74E-07,2.67E-07,7.02E-07,5.72E-07,1.698,1.313,0.878
889,3436,9.472,40,1.63E-06,1.38E-06,4.36E-06,1.11E-05,3.89,3.558,2.354
890,3437,0.168,0.344,1.42E-09,1.09E-09,4.83E-08,8.93E-08,0.953,0.643,0.169
891,3439,89.408,150.784,1.52E-06,1.05E-06,2.50E-06,5.29E-06,1.962,1.664,1.596
892,3441,0.096,0.24,4.28E-09,1.13E-08,5.81E-08,4.89E-08,2.057,1.162,0.378
893,3448,96.512,331.232,5.84E-06,4.88E-06,1.24E-05,4.95E-05,2.398,2.186,1.813
894,3458,136.384,673.824,1.97E-06,3.79E-06,1.27E-05,1.86E-05,9.04,8.683,8.101
895,3465,7.808,17.056,5.41E-08,1.14E-07,3.90E-07,4.11E-06,0.711,0.563,0.436
896,3471,3.36,19.808,1.52E-07,1.68E-07,4.73E-07,2.17E-06,0.686,0.596,0.49
897,3472,4.096,15.936,4.13E-07,4.86E-07,9.85E-07,8.77E-07,1.446,1.321,1.15
898,3476,1.152,2.432,8.74E-09,0,1.05E-07,4.47E-07,0.741,0.448,0.263
899,3477,0.821,1.461,1.38E-08,1.66E-08,1.49E-07,2.83E-07,0.954,0.696,0.508
900,3480,3.648,9.15,6.24E-07,1.07E-06,4.93E-06,9.87E-06,21.608,19.594,12.66
901,3481,3.776,40.768,2.80E-06,3.71E-06,1.44E-05,3.58E-05,25.702,21.937,19.164
902,3485,30.496,114.464,1.67E-06,1.78E-06,2.74E-06,0,1.079,0.883,0.829
903,3486,49.6,67.776,5.61E-07,7.01E-07,1.59E-06,0,1.484,1.268,1.194
904,3487,0.266,0.642,4.03E-09,6.78E-09,7.30E-08,2.92E-07,1.181,0.711,0.301
905,3488,53.952,60.224,7.91E-07,9.83E-07,2.59E-06,5.37E-06,9.398,8.645,4.781
906,3489,8.704,33.056,2.42E-06,4.04E-06,1.70E-05,2.58E-05,7.317,6.648,5.766
907,3491,4.48,13.952,7.24E-06,6.60E-06,1.94E-05,3.04E-05,30.654,30.215,25.699
908,3493,59.072,83.008,7.93E-08,1.05E-07,7.79E-07,3.12E-06,1.089,0.819,0.681
909,3494,0.896,1.408,5.04E-08,2.79E-08,8.82E-08,5.39E-07,2.213,1.047,0.392
910,3502,0.208,0.416,9.46E-09,2.43E-08,1.97E-07,4.67E-07,2.411,2.092,0.853
911,3503,3.648,26.4,2.45E-07,3.02E-07,6.95E-07,8.47E-08,1.351,1.312,1.184
912,3505,11.04,17.44,3.61E-07,1.33E-07,3.76E-07,1.14E-06,0.78,0.839,0.48
913,3509,5.44,14.944,2.33E-07,7.80E-07,1.94E-06,3.65E-07,1.191,1.083,1.015
914,3510,0.138,0.266,5.45E-09,9.08E-09,6.76E-08,1.89E-08,1.796,1.035,0.31
915,3511,7.36,19.904,1.18E-06,5.97E-07,8.29E-07,0,1.862,1.589,1.073
916,3512,9.28,29.824,7.80E-07,1.26E-06,4.33E-06,5.92E-06,5.092,4.842,4.517
917,3514,49.408,88.864,1.23E-06,1.00E-06,2.53E-06,5.83E-06,1.08,0.799,0.694
918,3515,7.936,26.816,1.48E-07,1.86E-07,3.82E-07,1.67E-07,0.894,0.727,0.644
919,3516,6.528,19.2,5.61E-07,6.62E-07,2.63E-06,4.82E-06,7.835,5.275,3.429
920,3523,35.584,59.072,5.11E-06,8.71E-06,4.89E-05,0.000346,21.806,21.568,20.696
921,3527,3.648,13.568,3.71E-07,4.08E-07,1.28E-06,6.99E-07,3.579,3.007,2.663
922,3528,99.84,151.456,9.97E-08,1.81E-07,2.69E-07,0,0.536,0.414,0.331
923,3530,0.512,1.6,7.33E-08,6.78E-08,5.24E-08,6.28E-07,1.54,1.223,0.655
924,3545,0.623,1.439,2.22E-08,2.82E-08,2.74E-07,1.28E-06,1.534,1.332,0.889
925,3552,9.152,23.264,9.58E-07,4.53E-07,5.13E-07,4.16E-07,0.92,0.669,0.507
926,3567,481.984,589.536,1.84E-06,1.95E-06,5.77E-06,1.43E-05,1.448,1.187,1.049
927,3569,1.536,21.024,3.71E-07,4.22E-07,1.03E-06,2.10E-07,4.928,4.532,3.758
928,3588,40.576,57.888,2.11E-06,2.08E-06,3.07E-06,0,1.605,1.448,1.312
929,3593,16.96,59.072,9.53E-07,1.65E-06,7.27E-06,3.44E-05,7.988,6.611,5.909
930,3598,1.664,6.08,2.28E-07,3.60E-07,1.09E-06,1.10E-06,4.788,4.361,3.271
931,3606,0.608,1.824,4.81E-08,9.02E-08,6.91E-07,1.54E-06,3.95,3.401,2.721
932,3608,5.12,16.896,4.26E-07,3.51E-07,1.17E-06,1.01E-06,1.978,1.699,1.583
933,3611,1.216,3.52,1.55E-07,2.99E-08,6.81E-08,5.79E-07,0.859,0.723,0.459
934,3618,50.24,90.176,9.90E-07,1.92E-06,7.80E-06,7.33E-06,2.694,2.501,2.34
935,3634,112.896,142.048,2.53E-06,2.64E-06,1.06E-05,2.65E-05,3.685,3.304,2.907
936,3637,4.224,13.184,6.20E-07,7.49E-07,2.47E-06,2.72E-07,2.904,2.697,2.532
937,3640,0.08,0.228,1.13E-08,1.66E-08,3.36E-08,6.37E-08,2.666,1.052,0.287
938,3642,0.256,0.704,2.74E-08,6.01E-08,2.43E-07,4.30E-07,6.831,3.97,1.336
939,3644,0.296,0.776,8.79E-08,1.60E-07,4.08E-07,3.88E-07,6.858,5.323,2.802
940,3648,27.84,57.088,2.58E-06,2.74E-06,6.04E-06,4.59E-06,5.907,5.7,5.362
941,3649,6.016,26.496,9.71E-07,1.27E-06,3.53E-06,4.35E-06,4.367,4.277,3.914
942,3654,3.84,11.872,5.11E-07,9.21E-07,3.43E-06,2.74E-06,3.242,2.88,2.682
943,3655,5.312,19.424,2.35E-07,2.26E-07,4.77E-07,1.60E-06,1.163,0.882,0.669
944,3658,6.528,10.56,1.37E-06,2.62E-06,8.44E-06,1.31E-05,13.512,12.902,10.135
945,3662,24.832,68.896,8.55E-07,1.37E-06,5.19E-06,2.55E-05,3.339,3.054,2.88
946,3663,162.88,204.416,2.51E-06,2.71E-06,8.84E-06,1.80E-05,4.805,4.483,3.047
947,3664,40.416,85.216,1.60E-06,1.26E-06,1.62E-06,0,2.211,1.984,1.568
948,3665,0.036,0.076,8.59E-09,2.29E-08,2.49E-07,1.20E-06,9.437,4.001,1.01
949,3668,0.076,0.176,1.31E-08,1.36E-08,1.23E-07,2.79E-06,3.31,2.127,0.62
950,3671,33.088,70.24,9.83E-08,1.01E-07,5.11E-07,2.68E-06,1.051,0.938,0.766
951,3717,40.864,59.232,9.63E-07,1.03E-06,1.33E-06,0,0.874,0.772,0.702
952,3722,0.192,0.384,2.92E-08,2.69E-08,1.21E-07,2.33E-07,2.479,1.947,0.66
953,3728,0.168,0.536,4.33E-09,1.58E-08,6.41E-08,2.62E-08,1.626,1.322,0.347
954,3733,3.52,12.64,4.23E-08,5.45E-08,1.18E-07,2.61E-08,0.621,0.56,0.318
955,3735,0.32,1.301,2.71E-08,5.51E-08,5.46E-07,3.54E-06,4.834,4.159,2.161
956,3736,0.08,0.56,8.35E-08,1.47E-07,8.05E-07,4.02E-06,26.745,11.015,3.971
957,3737,0.08,0.32,1.31E-08,2.86E-08,1.45E-07,7.70E-07,4.759,2.463,0.726
958,3740,57.6,97.344,4.68E-07,3.96E-07,4.89E-07,0,0.736,0.558,0.449
959,3742,0.256,0.448,2.73E-09,6.02E-09,1.01E-07,7.03E-07,0.94,0.874,0.378
960,3745,24.384,84.352,1.03E-06,9.81E-07,2.40E-06,8.55E-07,2.674,2.211,1.535
961,3751,0.176,0.535,4.86E-09,3.27E-08,1.90E-07,3.82E-07,2.486,1.983,0.87
962,3765,9.472,72.576,4.28E-06,6.26E-06,1.92E-05,1.92E-05,25.956,25.289,22.809
963,3766,118.016,134.496,4.21E-07,5.46E-07,1.65E-06,1.67E-06,1.198,1.091,1.036
964,3768,9.44,51.104,5.58E-07,5.91E-07,7.08E-07,0,0.954,0.827,0.725
965,3770,0.416,0.544,1.35E-08,4.02E-08,2.81E-07,7.10E-07,5.157,2.811,1.259
966,3771,30.848,132.256,3.87E-07,6.87E-07,1.75E-06,1.93E-06,1.751,1.425,1.195
967,3773,54.368,107.424,2.13E-06,7.85E-07,2.24E-07,8.36E-06,0.507,0.384,0.252
968,3774,0.052,0.219,1.18E-08,1.14E-08,2.99E-08,0,1.665,0.832,0.219
969,3776,4.16,11.072,2.74E-06,2.53E-06,7.21E-06,3.99E-06,5.897,5.542,4.841
970,3779,3.008,11.328,1.24E-07,9.44E-08,2.07E-07,2.89E-08,0.783,0.673,0.575
971,3782,0.064,0.16,5.29E-09,7.70E-09,2.43E-08,1.17E-10,1.309,0.624,0.173
972,3788,21.44,65.728,4.34E-06,5.30E-06,1.56E-05,1.75E-05,5.277,5.201,4.954
973,3791,0.112,0.336,1.86E-08,1.84E-08,1.55E-07,1.47E-06,3.418,2.122,0.687
974,3792,3.392,22.048,2.07E-07,2.33E-07,4.95E-07,0,0.834,0.602,0.503
975,3799,0.048,0.096,8.00E-09,3.81E-09,3.18E-08,0,1.787,0.607,0.141
976,3800,9.6,22.016,1.85E-07,2.64E-07,4.43E-07,0,0.75,0.549,0.439
977,3801,12.384,30.752,1.79E-07,3.24E-07,9.87E-07,2.41E-07,1.398,1.105,0.697
978,3805,9.28,30.08,1.83E-07,3.60E-07,8.06E-07,6.06E-07,0.941,0.815,0.692
979,3807,2.88,5.696,5.35E-08,9.38E-08,4.32E-07,5.23E-07,1.223,0.828,0.663
980,3810,0.044,0.076,1.44E-09,8.08E-09,5.57E-08,1.75E-07,2.253,0.972,0.316
981,3811,2.432,5.44,1.41E-06,6.93E-07,7.98E-07,5.44E-07,2.761,2.381,2.079
982,3814,0.624,3.234,1.61E-07,1.17E-07,2.05E-07,2.74E-07,2.546,2.281,1.225
983,3815,1.92,6.784,5.57E-07,3.26E-07,3.89E-07,1.08E-07,2.591,2.321,1.639
984,3819,15.744,54.976,7.42E-07,6.68E-07,1.30E-06,0,1.102,0.93,0.85
985,3840,1.609,4.169,1.67E-08,2.49E-08,5.05E-08,1.72E-10,1.042,0.595,0.308
986,3843,12.16,50.528,1.06E-06,2.15E-06,6.89E-06,3.06E-06,2.514,2.332,2.213
987,3853,39.808,91.264,3.85E-07,5.36E-07,8.98E-07,2.83E-06,3.306,3.075,2.093
988,3860,13.184,31.488,9.66E-07,1.96E-06,1.19E-05,5.37E-05,4.731,4.443,3.805
989,3864,35.328,51.2,2.34E-08,3.61E-08,2.72E-07,2.03E-06,1.338,1.106,0.802
990,3866,1.024,4.224,2.40E-07,2.58E-07,1.21E-06,2.66E-06,6.098,5.652,4.107
991,3867,0.299,0.939,1.95E-08,4.29E-08,2.83E-07,1.20E-06,3.254,2.913,1.302
992,3868,0.128,0.128,5.84E-09,9.02E-09,2.62E-08,1.08E-07,1.75,0.675,0.215
993,3869,2.752,8.64,1.60E-07,2.02E-07,5.13E-07,3.93E-07,1.251,1.002,0.886
994,3870,2.688,8.448,1.61E-06,1.76E-06,3.68E-06,7.29E-06,14.113,13.929,11.881
995,3871,8.128,44.096,3.74E-07,5.44E-07,1.24E-06,3.61E-06,1.347,1.105,1.005
996,3875,1.728,8.384,3.53E-07,2.82E-07,3.21E-07,1.25E-07,3.023,2.802,2.161
997,3879,4.8,30.88,4.80E-07,5.47E-07,9.65E-07,4.08E-07,1.761,1.508,1.372
998,3886,10.56,12.48,2.04E-07,2.22E-07,6.00E-07,9.08E-07,2.268,2.11,1.48
999,3888,0.176,1.736,4.10E-08,4.39E-08,2.05E-07,1.38E-06,4.651,2.903,0.971
1000,3889,0.028,0.06,3.24E-09,6.71E-09,4.87E-08,1.60E-07,3.499,0.947,0.22
1001,3890,5.184,12.224,2.16E-07,3.36E-07,5.06E-07,2.59E-07,1.43,1.054,0.777
1002,3891,3.712,41.472,1.26E-06,1.68E-06,4.80E-06,6.32E-06,15.48,13.693,9.175
1003,3892,1.664,3.904,4.27E-07,1.89E-07,3.91E-07,8.15E-07,1.855,1.666,1.54
1004,3893,12.736,35.648,2.01E-06,3.74E-06,9.90E-06,2.56E-06,4.048,3.696,3.544
1005,3894,0.752,1.483,1.10E-08,1.53E-08,7.20E-08,2.02E-07,1.63,0.691,0.343
1006,3895,0.384,0.768,7.96E-09,1.43E-08,5.92E-08,4.25E-08,0.755,0.604,0.327
1007,3899,13.184,44.384,3.42E-07,2.78E-07,5.23E-07,2.27E-06,0.512,0.467,0.343
1008,3900,48.384,86.72,5.66E-07,7.19E-07,1.22E-06,0,1.673,1.534,1.079
1009,3901,12.352,43.52,3.28E-07,3.55E-07,6.36E-07,1.33E-07,0.693,0.423,0.364
1010,3902,0.128,0.192,1.75E-08,2.93E-08,2.38E-07,9.85E-07,8.257,4.182,1.047
1011,3903,17.792,66.432,2.41E-07,1.79E-07,6.42E-07,1.78E-06,1.473,0.737,0.324
1012,3904,0.016,0.036,1.44E-09,3.10E-09,1.39E-08,6.95E-08,1.171,0.545,0.15
1013,3905,5.184,24.256,7.75E-07,1.25E-06,3.89E-06,5.86E-06,4.675,4.39,3.914
1014,3906,6.976,20.736,8.50E-07,9.62E-07,1.96E-06,2.34E-06,2.518,2.322,2.197
1015,3908,5.344,13.92,8.89E-08,1.30E-07,4.39E-07,5.98E-07,1.115,1.017,0.735
1016,3909,7.424,18.304,6.66E-07,4.69E-07,7.90E-07,8.13E-07,2.824,2.773,1.908
1017,3910,0.056,0.088,1.02E-08,1.61E-08,2.59E-08,8.36E-09,2.444,0.934,0.241
1018,3912,7.424,26.048,1.18E-06,1.19E-06,3.19E-06,3.22E-06,4.249,4.037,3.792
1019,3913,35.392,81.088,9.90E-07,2.37E-06,6.72E-06,2.70E-06,1.37,1.081,0.973
1020,3914,21.248,54.432,1.30E-07,2.01E-07,4.96E-07,5.68E-09,0.499,0.323,0.269
1021,3916,32.128,115.456,1.67E-06,1.47E-06,3.30E-06,3.45E-06,1.295,1.136,1.046
1022,3917,106.112,163.712,8.07E-07,1.22E-06,3.71E-06,2.69E-05,1.212,0.973,0.877
1023,3918,20.864,110.464,1.47E-06,1.91E-06,6.68E-06,1.15E-05,2.277,1.997,1.789
1024,3919,0.048,0.132,6.20E-10,9.60E-09,2.06E-08,2.24E-08,1.211,0.569,0.175
1025,3921,0.192,0.464,7.45E-09,2.65E-08,2.90E-07,1.02E-06,3.524,3.174,1.15
1026,3924,3.392,10.464,2.78E-07,1.40E-07,2.34E-07,1.25E-06,1.248,1.115,0.819
1027,3926,7.104,9.952,7.10E-09,1.06E-07,5.31E-07,2.16E-06,1.209,0.865,0.621
1028,3929,8.448,28.544,1.21E-06,1.51E-06,6.10E-06,1.47E-05,4.358,3.969,3.456
1029,3930,8.512,172.736,3.23E-06,3.95E-06,2.40E-05,8.71E-05,11.545,10.72,10.342
1030,3935,7.616,27.232,1.12E-07,1.47E-07,4.23E-07,6.43E-06,0.742,0.494,0.39
1031,3936,1.536,2.88,2.04E-07,5.31E-07,1.88E-06,5.39E-07,6.351,5.893,4.379
1032,3939,0.576,1.717,1.50E-07,1.32E-07,1.40E-07,5.26E-07,1.998,1.854,1.508
1033,3940,0.256,0.576,2.83E-08,4.94E-08,1.80E-07,1.08E-07,3.199,2.33,1.048
1034,3941,10.048,52.096,1.77E-07,1.83E-07,2.77E-07,0,0.63,0.421,0.347
1035,3954,3.968,29.696,1.13E-06,1.59E-06,6.06E-06,1.88E-05,8.445,8.192,7.767
1036,4039,22.528,58.816,1.51E-06,2.18E-06,1.04E-05,6.89E-05,7.088,5.45,5.084
1037,4048,4.224,13.696,8.52E-07,9.18E-07,4.64E-06,9.68E-06,4.864,4.471,4.239
1038,4095,1.92,4.512,1.87E-07,9.19E-08,2.58E-07,0,1.348,1.159,0.701
1039,4146,16.384,42.592,8.99E-07,1.07E-06,1.45E-06,1.15E-06,1.1,0.872,0.66
1040,4157,6.464,20.032,1.07E-06,1.25E-06,1.65E-06,7.01E-07,2.316,2.272,2.096
1041,4216,10.496,25.472,6.58E-07,5.01E-07,1.27E-06,3.21E-06,1.642,1.513,1.198
1042,4251,4.928,13.344,2.57E-07,1.95E-07,8.03E-08,0,0.625,0.372,0.332
1043,4312,2.048,9.024,1.11E-06,9.82E-07,1.33E-06,6.82E-07,9.171,8.772,6.934
1044,4327,0.064,0.128,1.26E-08,3.26E-08,1.67E-07,1.81E-07,10.62,3.339,0.858
1045,4350,31.36,52,2.34E-06,1.95E-06,4.56E-06,4.76E-06,3.521,3.269,2.816
1046,4368,8.384,36.48,4.44E-05,3.23E-05,7.48E-05,6.89E-05,58.604,56.226,46.868
1047,4388,60.032,71.04,3.71E-07,4.72E-07,1.30E-06,3.62E-07,1.288,0.966,0.866
1048,4556,2.368,13.088,2.23E-06,3.67E-06,1.17E-05,1.88E-05,16.576,15.89,14.074
1049,4569,2.816,6.08,1.92E-07,2.66E-07,1.13E-06,1.19E-06,2.442,1.952,1.446
1050,4653,33.632,51.68,8.40E-07,9.05E-07,1.66E-06,0,1.545,1.235,0.975
1051,4660,0.608,1.168,5.75E-08,8.67E-08,8.36E-07,3.40E-06,5.149,4.275,2.944
1052,4701,12.992,74.688,2.90E-06,4.08E-06,1.41E-05,1.42E-05,7.499,7.135,6.135
1053,4710,3.264,9.984,3.24E-07,3.69E-07,9.79E-07,2.42E-06,3.012,2.894,2.395
1054,4744,0.128,0.128,4.90E-09,1.16E-08,3.82E-08,8.93E-08,2.296,0.912,0.268
1055,4745,246.688,259.488,5.77E-07,7.01E-07,3.63E-06,4.61E-06,1.68,1.485,1.382
1056,4776,0.192,0.448,2.88E-08,4.82E-08,3.04E-07,1.38E-06,5.54,4.593,1.435
1057,4807,0.064,0.192,2.20E-09,1.50E-09,3.80E-08,2.55E-07,1.338,0.516,0.115
1058,4814,1.38,2.964,2.49E-07,3.06E-07,1.21E-06,1.06E-06,4.441,3.618,2.943
1059,4871,0.128,0.384,4.42E-09,1.18E-08,8.30E-08,5.49E-08,3.557,1.238,0.377
1060,4939,7.072,20.064,2.74E-07,3.53E-07,1.04E-06,9.65E-07,1.41,1.314,1.071
1061,4955,0.096,0.464,2.84E-08,3.38E-08,1.85E-07,3.34E-07,5.737,3.49,0.934
1062,4959,11.008,31.328,1.93E-07,3.05E-07,9.06E-07,2.82E-06,0.71,0.494,0.41
1063,5079,0.56,1.184,8.18E-09,1.96E-08,8.21E-08,2.63E-07,1.446,0.909,0.428
1064,5080,6.912,9.536,9.99E-07,4.64E-07,3.67E-07,2.94E-07,4.523,3.998,1.877
1065,5206,0.176,0.304,1.01E-08,2.62E-08,2.00E-07,2.37E-06,3.465,2.602,0.869
1066,5212,0.256,0.384,5.19E-09,2.19E-08,1.39E-07,5.68E-07,2.401,1.546,0.63
1067,5255,15.744,69.472,1.20E-06,9.14E-07,1.03E-06,0,1.182,1.094,1.036
1068,5277,0.192,0.496,2.52E-08,7.54E-08,5.83E-07,2.29E-06,8.143,7.32,2.53
1069,5304,10.688,22.784,3.55E-06,6.94E-06,2.59E-05,4.19E-05,13.873,13.28,12.107
1070,5305,23.936,31.584,4.15E-07,3.69E-07,2.96E-07,2.74E-06,1.321,0.918,0.581
1071,5339,0.448,0.832,7.56E-08,1.28E-07,1.03E-06,7.95E-06,7.776,7.01,4.519
1072,5379,4.608,11.328,1.17E-07,1.95E-07,1.22E-06,3.25E-06,1.461,1.274,1.029
1073,5387,11.904,43.2,4.29E-07,8.04E-07,2.38E-06,4.00E-08,1.45,1.36,1.225
1074,5389,10.816,23.744,7.33E-07,1.27E-06,3.41E-06,1.62E-06,4.431,4.137,3.742
1075,5407,28.096,75.968,3.82E-07,8.34E-07,2.76E-06,1.93E-06,0.945,0.713,0.632
1076,5409,35.904,70.4,1.22E-06,1.43E-06,4.77E-06,3.78E-06,1.113,0.848,0.775
1077,5411,5.184,27.136,4.94E-07,3.66E-07,5.29E-07,8.13E-08,0.858,0.791,0.746
1078,5412,42.56,98.848,1.77E-06,1.41E-06,2.40E-06,4.80E-06,1.622,1.391,1.289
1079,5415,8.064,25.856,5.53E-07,7.43E-07,1.74E-06,5.15E-07,1.585,1.404,1.344
1080,5416,13.248,23.232,4.89E-07,5.53E-07,1.44E-06,9.38E-07,1.606,1.311,1.219
1081,5417,2.496,16.064,8.09E-07,1.05E-06,3.33E-06,5.41E-06,8.25,8.158,7.208
1082,5419,8.576,22.784,8.87E-07,9.17E-07,1.66E-06,6.07E-08,3.9,3.429,2.27
1083,5420,20.384,51.552,5.38E-07,4.23E-07,1.16E-06,5.33E-06,0.561,0.458,0.331
1084,5421,199.04,266.752,2.04E-06,2.42E-06,8.36E-06,2.18E-06,2.252,1.968,1.534
1085,5423,4.032,13.312,1.36E-07,1.21E-07,2.33E-07,8.09E-08,1.007,0.772,0.57
1086,5428,16.96,98.496,3.82E-07,3.67E-07,4.34E-07,0,1.668,1.406,1.183
1087,5429,155.904,200.192,1.25E-06,1.10E-06,4.15E-06,7.97E-06,2.218,2.038,1.767
1088,5433,16.448,75.968,4.46E-07,5.89E-07,1.45E-06,3.59E-06,3.134,2.827,2.682
1089,5434,6.72,35.04,2.99E-07,2.25E-07,7.83E-07,1.87E-06,0.95,0.92,0.791
1090,5439,0.192,4.544,7.08E-08,1.03E-07,4.37E-07,2.07E-06,13.265,6.788,2.32
1091,5447,11.968,55.904,4.46E-06,2.34E-06,2.68E-06,0,4.104,3.879,3.257
1092,5448,0.512,0.896,2.16E-09,1.15E-08,2.16E-07,8.37E-07,1.297,1.002,0.765
1093,5450,8.32,172.16,7.42E-07,1.11E-06,4.63E-06,1.02E-05,4.471,4.153,2.67
1094,5451,5.12,24.512,9.84E-07,1.42E-06,4.25E-06,1.84E-06,4.513,4.303,3.999
1095,5453,0.512,0.985,5.83E-09,2.01E-08,7.13E-08,1.27E-07,1.003,0.837,0.406
1096,5454,16.896,35.872,6.84E-07,5.31E-07,1.16E-06,7.04E-07,1.155,1.02,0.799
1097,5456,2.048,3.904,9.72E-08,1.72E-07,4.88E-07,4.82E-07,3.442,2.874,1.547
